"id","event_name","parent_campaign","start_year","end_year","place_name","country_today","lat","lon","geometry_type","perpetrator","target_group","category","deaths_low","deaths_high","evidence_tier","key_source","status","notes","register_reason","what_would_unlock_it"
"EV0441","Mount Lebanon famine","First World War in the Levant","1915","1918","Mount Lebanon","Lebanon","","","unmapped","Ottoman requisition and Allied naval blockade","Mountain population","engineered famine","150000","200000","2","Ottoman and French consular records; Tanielian","confirmed","Locusts triggered it; requisition and blockade made it lethal","Mortality known in aggregate; no village-level register survives","Ottoman mutasarrifiyya tax and population records; church parish registers"
"EV0442","Persian famine","First World War occupation of Persia","1917","1919","Northern and western Persia","Iran","","","unmapped","Occupying Russian, British and Ottoman forces; grain hoarding","Persian population","engineered famine","","","2","Majd (contested); British and Persian archival sources","contested","Majd's figure of 8-10 million is rejected by most demographers; store a wide range","Only city-level data compiled is Afkhami's influenza table; famine, cholera, typhus and flu deaths were never separated by place","Provincial grain requisition records from British, Russian and Ottoman military archives"
"EV0444","Northwest China famine","Warlord-era China","1928","1930","Shaanxi, Gansu, Henan","China","","","unmapped","Warlord grain seizure, opium cultivation displacement, drought","Rural population","engineered famine","3000000","10000000","2","Li Lillian; Republican-era relief commission records","contested","Land switched from grain to opium under warlord taxation","No county-level mortality data comparable to the Great Leap gazetteers","Republican-era provincial relief commission records for Shaanxi and Gansu"
"EV0447","Soviet famine of 1946-47","Postwar Soviet grain policy","1946","1947","Ukraine, Moldova, central Russia","Former USSR","","","unmapped","Soviet state procurement and export policy","Rural population","engineered famine","1000000","1500000","2","Ellman; Soviet archives","contested","USSR exported grain during the famine","Archival work is national and oblast-level; no district mortality series published","Oblast procurement and ZAGS death registration files"
"EV0455","Muhacir expulsions from the Balkans and Caucasus","Ottoman territorial contraction","1877","1913","Balkans; Crimea; Caucasus to Anatolia","Multiple","","","unmapped","Successor states and Russian Empire","Balkan and Caucasian Muslims","forced displacement","","","2","McCarthy, Death and Exile; Ottoman refugee commission records","contested","Several million displaced; mortality in transit heavily disputed","Transit mortality over 36 years with no route-level record","Ottoman refugee commission (Muhacirin Komisyonu) settlement registers"
"EV0467","Expulsion of the Hoa and the boat people","Post-war Vietnam","1978","1990","Ho Chi Minh City; Haiphong; South China Sea routes","Vietnam","","","unmapped","Vietnamese government policy and semi-official exit fees","Ethnic Chinese and southern Vietnamese","forced displacement","200000","400000","2","UNHCR records; Kwok; Vietnamese and Chinese accounts","contested","Deaths at sea are the largest component and the least precisely counted","The largest share of deaths occurred at sea and is inherently unlocatable","Nothing would; departure ports can be pinned, deaths cannot"
"EV0497","Leaded petrol exposure","Tetraethyl lead in petrol","1923","2021","Global, wherever leaded petrol was sold","Multiple","","","unmapped","General Motors, Standard Oil of New Jersey, DuPont, later the Ethyl Corporation and licensees","General population, especially children","corporate and industrial harm","","","1","US Public Health Service 1925 conference record; Patterson 1965; UNEP Partnership for Clean Fuels","confirmed","Harm followed a distributed product across a century and most of the world. Source sites are pinned separately; the exposure itself cannot be","Exposure followed a distributed fuel across most of the world for 98 years","Nothing would; national blood-lead series are the correct unit, and source sites are pinned separately"
"EV0507","Diethylstilboestrol prescribing","Pharmaceutical harm","1938","1971","United States, and widely in Europe","Multiple","","","unmapped","Eli Lilly and around 200 other manufacturers","Pregnant women and their daughters","corporate and industrial harm","","","1","Sindell v Abbott Laboratories 1980; Herbst et al. 1971; FDA withdrawal notice","confirmed","Around 5 to 10 million exposed in the US alone. Evidence of ineffectiveness existed from 1953; prescribing continued for eighteen more years. Produced the market share liability doctrine","Prescribed to millions across two continents over 33 years with no exposure register","National prescribing records; DES daughter registries exist in the Netherlands and France but are partial"
"EV0692","Famine in Xichuan county","Great Leap Forward famine","1959","1961","Xichuan county, Nanyang region (now Xichuan, Nanyang, Henan)","China","","","unmapped","Henan provincial and Nanyang regional authorities under the procurement and anti-concealment campaigns","County population","engineered famine","","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 53, account of Nanyang region","confirmed","REGISTER. Why not mapped: only the county is known. Xichuan: equal-area radius about 29.9 km, population density roughly 222/km2 (Wikipedia, 2019). This passes the thinly-populated rule, but the human decided on review to keep it off the map because the density is borderline. The evidence that authorities knew and continued is regional, not specific to Xichuan. What would place it: a figure or place at commune level from a Xichuan county gazetteer.","only the county is known","a figure or place at commune level from a Xichuan county gazetteer"
"EV0694","Killings and famine deaths across Guangshan county","Great Leap Forward famine","1959","1960","Guangshan county, Xinyang region (now Guangshan, Henan)","China","","","unmapped","Guangshan county Party committee under first secretary Ma Longshan, and commune and brigade cadres","Commune members and cadres","state terror","97154","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 21, 30, summarising: Yang Weiping, report on the Xinyang incident, 1960","confirmed","REGISTER. Why not mapped: the figure covers the whole county. Guangshan: equal-area radius about 24.1 km, population density roughly 333/km2 (Wikipedia, 2019), so it fails the county test. Overlaps with the Guangshan commune records EV0668-EV0675. What would place it: the figure broken down by commune, from the Yang Weiping report or a Guangshan county gazetteer.","the figure covers the whole county","the figure broken down by commune, from the Yang Weiping report or a Guangshan county gazetteer"
"EV0695","Hunt for the author of an anonymous famine letter, Guangshan","Great Leap Forward famine","1959","1960","Guangshan county post office and public security bureau (now Guangshan, Henan)","China","","","unmapped","Guangshan county public security bureau","Pockmarked women of the county","political repression","","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 32, account of the suppression of famine reports","confirmed","REGISTER. Why not mapped: the action was county-wide; Guangshan fails the county test (radius about 24.1 km, density roughly 333/km2, Wikipedia 2019). The book notes one source puts this in Huangchuan county instead. What would place it: the location of the 1959-60 county public security bureau, which would support a site pin.","the action was county-wide; Guangshan fails the county test (radius about 24.1 km, density roughly 333/km2, Wikipedia 2019)","the location of the 1959-60 county public security bureau, which would support a site pin"
"EV0696","Killings and famine deaths across Xi county","Great Leap Forward famine","1959","1960","Xi county, Xinyang region (now Xi county, Henan)","China","","","unmapped","Xi county and commune cadres in the anti-concealment campaign, under county Party secretary Xu Xilan","Commune members and grassroots cadres","state terror","104523","140000","1","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 24, 28-30, quoting: report on Xi county, 9 October 1960","confirmed","REGISTER. Why not mapped: the figure covers the whole county. Xi county: equal-area radius about 24.2 km, population density roughly 408/km2 (Wikipedia, 2019). Overlaps with EV0687 (Zhangtao), EV0688 (Xiazhuang) and the Xiangdian cannibalism case. What would place it: the figures by commune, from the October 1960 report or a Xi county gazetteer.","the figure covers the whole county","the figures by commune, from the October 1960 report or a Xi county gazetteer"
"EV0697","Night struggle sessions under acting commune secretary Qian Qinghuai, Xi county","Great Leap Forward famine","1959","1959","Ten big brigades of an unnamed commune, Xi county (now Xi county, Henan)","China","","","unmapped","Qian Qinghuai, acting first Party secretary of a Xi county commune, and his squad of enforcers","Brigade and team cadres","state terror","8","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 23-24, account of Xi county procurement","confirmed","REGISTER. Why not mapped: the commune is not named. Overlaps with the Xi county total. What would place it: the name of the commune where Qian Qinghuai was acting first secretary (its secretary was Xiong Yongkuan), from a Xi county gazetteer.","the commune is not named","the name of the commune where Qian Qinghuai was acting first secretary (its secretary was Xiong Yongkuan), from a Xi county gazetteer"
"EV0698","Detention stations for famine refugees, Huangchuan county","Great Leap Forward famine","1959","1960","67 detention stations, Huangchuan county (now Huangchuan, Henan)","China","","","unmapped","Huangchuan county authorities","People fleeing the famine","arbitrary detention","","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 30-32, account of the blockade of famine refugees","confirmed","REGISTER. Why not mapped: 67 separate sites across the county. Huangchuan: equal-area radius about 22.8 km, population density roughly 413/km2 (Wikipedia, 2019). See EV0685 (Chengguan detention station). What would place it: a list of the stations, from Huangchuan county archives or gazetteer.","67 separate sites across the county","a list of the stations, from Huangchuan county archives or gazetteer"
"EV0699","Blockade and detention of famine refugees across Xinyang region","Great Leap Forward famine","1959","1960","Xinyang region (now Xinyang and part of Zhumadian, Henan)","China","","","unmapped","Xinyang regional Party committee and county committees, with the public security and railway police","People trying to flee or to report the famine","arbitrary detention","","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 31, account of the blockade","confirmed","REGISTER. Why not mapped: several hundred sites across the region. Within the Xinyang region; see EV0174 Xinyang incident. The book writes 信阳市 (Xinyang city), but hundreds of stations suggests the whole region; flagged. What would place it: lists of detention stations by county, from county archives.","several hundred sites across the region","lists of detention stations by county, from county archives"
"EV0700","Anti-Right Deviation struggle sessions across Xinyang region","Great Leap Forward famine","1959","1959","Xinyang region (now Xinyang and part of Zhumadian, Henan)","China","","","unmapped","Xinyang regional Party committee under Lu Xianwen","Cadres accused of right deviation","political repression","","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 19, citing Zhang Shufan's recollections","confirmed","REGISTER. Why not mapped: region-wide figure. Within the Xinyang region; see EV0174. What would place it: figures by county from the Anti-Right Deviation campaign records.","region-wide figure","figures by county from the Anti-Right Deviation campaign records"
"EV0701","Mass detention of cadres in the 'democratic revolution make-up' campaign, Xinyang region","Great Leap Forward famine","1960","1961","Xinyang region (now Xinyang and part of Zhumadian, Henan)","China","","","unmapped","The CCP Central Committee's work group, the Henan Provincial Party Committee and the new regional leadership, acting on Mao's ruling that the Xinyang incident was a counter-revolutionary restoration","Local cadres, dining-hall staff and their families","arbitrary detention","","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 37-38, 40, account of the rectification campaign","confirmed","REGISTER. Why not mapped: region-wide campaign. Within the Xinyang region; see EV0174. The quotas for executions are planned figures only. In Gushi more than 30,000 were detained in one night (EV0702). What would place it: county-level detention figures and the locations of the special training camps.","region-wide campaign","county-level detention figures and the locations of the special training camps"
"EV0702","Mass arrests in one night, Gushi county","Great Leap Forward famine","1960","1960","Gushi county (now Gushi, Xinyang, Henan)","China","","","unmapped","Rectification campaign authorities in Xinyang region","County, commune and brigade cadres, dining-hall staff and their families","arbitrary detention","","","3","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 41, interview with Zhang Shengzhi, 1999","confirmed","REGISTER. Why not mapped: county-wide action. Gushi: equal-area radius about 30.5 km, population density roughly 378/km2 (Wikipedia, 2019). Testimony only. Part of the regional campaign in EV0701. What would place it: the locations of the Gushi detention and training camps.","county-wide action","the locations of the Gushi detention and training camps"
"EV0703","Deaths on Gushi county water-conservancy sites","Great Leap Forward famine","1958","1960","Three large water-conservancy sites, Gushi county (now Gushi, Henan)","China","","","unmapped","Gushi county and Xinyang regional authorities who ran the conscripted labour sites","Conscripted peasant labourers","slavery and forced labour","17000","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 48, quoting Wang Congwu's speech of 6 December 1960","confirmed","REGISTER. Why not mapped: the three sites are not named. Gushi: equal-area radius about 30.5 km, population density roughly 378/km2 (Wikipedia, 2019). Shangcai, Xincai, Luoshan, Suiping and the Communist Canal are named as sites with many deaths, without figures. What would place it: the names of the three reservoirs or canals, from a Gushi water-conservancy gazetteer.","the three sites are not named","the names of the three reservoirs or canals, from a Gushi water-conservancy gazetteer"
"EV0704","Beating of former cadres in the rectification campaign, Shangcai county","Great Leap Forward famine","1960","1961","Shangcai county, Xinyang region (now Shangcai, Zhumadian, Henan)","China","","","unmapped","Rectification campaign authorities and the mass meetings they organised","Former grassroots cadres","political repression","","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 38, account of the rectification campaign","confirmed","REGISTER. Why not mapped: county-wide. County test NOT RUN in this pilot: Shangcai's area and population were not looked up. What would place it: the county test (area and population), and figures by commune.","county-wide","the county test (area and population), and figures by commune"
"EV0705","Famine deaths in Zhengyang county","Great Leap Forward famine","1959","1960","Zhengyang county, Xinyang region (now Zhengyang, Zhumadian, Henan)","China","","","unmapped","Zhengyang county and Xinyang regional authorities","County population","engineered famine","80000","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 33, quoting an unnamed 1960 investigation document","confirmed","REGISTER. Why not mapped: county-wide figure. County test NOT RUN in this pilot: Zhengyang's area and population were not looked up. What would place it: the county test, and figures by commune.","county-wide figure","the county test, and figures by commune"
"EV0706","Famine deaths in Xincai county","Great Leap Forward famine","1959","1960","Xincai county, Xinyang region (now Xincai, Zhumadian, Henan)","China","","","unmapped","Xincai county and Xinyang regional authorities","County population","engineered famine","100000","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 33, quoting an unnamed 1960 investigation document","confirmed","REGISTER. Why not mapped: county-wide figure. County test NOT RUN in this pilot: Xincai's area and population were not looked up. What would place it: the county test, and figures by commune.","county-wide figure","the county test, and figures by commune"
"EV0707","Suicide of Bi Kedan and three daughters, Tanghe county","Great Leap Forward famine","1960","1960","A well, Tanghe county (location not stated; now Tanghe, Nanyang, Henan)","China","","","unmapped","Nanyang regional committee and the provincial and regional work group that suspended and investigated Bi Kedan","County Party secretary Bi Kedan and his family","political repression","4","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 53-54, account of Tanghe county","confirmed","REGISTER. Why not mapped: the well is not located. County test NOT RUN in this pilot for Tanghe. Tanghe famine deaths are in EV0708. What would place it: the location of the well (probably the county committee compound), from a Tanghe gazetteer.","the well is not located","the location of the well (probably the county committee compound), from a Tanghe gazetteer"
"EV0708","Famine deaths in Tanghe county","Great Leap Forward famine","1959","1960","Tanghe county, Nanyang region (now Tanghe, Nanyang, Henan)","China","","","unmapped","Nanyang regional and Henan provincial authorities, who refused Tanghe's requests for relief grain","County population","engineered famine","","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 54, account of Tanghe county","confirmed","REGISTER. Why not mapped: county-wide. County test NOT RUN in this pilot for Tanghe. What would place it: the county test, and a figure from the Tanghe gazetteer.","county-wide","the county test, and a figure from the Tanghe gazetteer"
"EV0709","Famine cannibalism at Pangwangzhuang, Mazhuang commune, Luyi","Great Leap Forward famine","1960","1960","Pangwangzhuang, Mazhuang big brigade, Mazhuang commune, Luyi county (not found in modern gazetteers)","China","","","unmapped","State grain procurement and the anti-concealment campaign under the Great Leap Forward, which produced the famine; no official is named for this act","Famine-stricken family","engineered famine","1","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 54, citing Wei Zhen's report","confirmed","REGISTER. Why not mapped: place named but not found: modern Luyi county has no Mazhuang township (the nearest name is Mapu town). What would place it: a Luyi county gazetteer giving the 1960 communes.","place named but not found: modern Luyi county has no Mazhuang township (the nearest name is Mapu town)","a Luyi county gazetteer giving the 1960 communes"
"EV0710","Beatings of peasants who complained of hunger, Xiayi and Yucheng","Great Leap Forward famine","1959","1959","Xiayi and Yucheng counties, Shangqiu region (now Shangqiu, Henan)","China","","","unmapped","Local cadres in Xiayi and Yucheng","Peasants who said they did not have enough to eat","political repression","","","3","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 53, summarising a soldiers' letter of 25 February 1959","confirmed","REGISTER. Why not mapped: two counties. What would place it: the villages the letter-writers came from.","two counties","the villages the letter-writers came from"
"EV0711","Coercion drive for cooperativisation, Minquan, Yongcheng and Xiayi","Maoist political campaigns","1957","1957","Minquan, Yongcheng and Xiayi counties, Shangqiu region (now Shangqiu, Henan)","China","","","unmapped","County and cooperative cadres in the propaganda campaign for cooperativisation","Peasants resisting cooperatives","political repression","9","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 43, account of the 1956-57 unrest over cooperatives","confirmed","REGISTER. Why not mapped: one figure over three counties. Before the Great Leap Forward. What would place it: figures by county.","one figure over three counties","figures by county"
"EV0712","Purge of the 'Pan, Yang and Wang anti-Party group'","Maoist political campaigns","1958","1958","Henan province, including Zhengzhou","China","","","unmapped","Wu Zhipu, first Party secretary of Henan, and the Henan Provincial Party Committee","Cadres and others labelled 'little Pan, Yang and Wang'","political repression","100","","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 42, 46, account of the Pan, Yang and Wang affair","confirmed","REGISTER. Why not mapped: province-wide campaign. The harassment of the three families took place at their Zhengzhou homes, not located. Wang Tingdong was sent to live in a donkey shed in Sunci commune, Xiangcheng county. What would place it: county-level records of the campaign.","province-wide campaign","county-level records of the campaign"
"EV0713","Famine in Henan province","Great Leap Forward famine","1958","1961","Henan province","China","","","unmapped","Wu Zhipu and the Henan Provincial Party Committee, under central Great Leap Forward policy","Rural population of Henan","engineered famine","1692800","3000000","2","Yang Jisheng, 墓碑：中国六十年代大饥荒纪实 (Tombstone), Chinese PDF edition dated August 2007, ch. 1, p. 53-55, section 'At least three million starved'","confirmed","REGISTER. Why not mapped: province-wide. Sub-unit of EV0173 Great Leap Forward famine; Xinyang is EV0174. What would place it: not applicable: this is a regional total; mapped records cover individual places.","province-wide","not applicable: this is a regional total; mapped records cover individual places"
